cutoff,variant,scope,wape_delta,sku_day_wape_delta,under_delta,over_delta
cutoff_20260621,demand_adjusted_guarded_routing,new_exact_routing_clean_sku_days,0.009556865146920002,0.009556865146920002,0.34104038851151586,0.4663618065608617
cutoff_20260621,demand_adjusted_guarded_routing,stable_tier1_membership_clean_sku_days,0.00033120623296345464,0.0002970355354231513,34.753478658996755,16.045740296183794
cutoff_20260621,demand_adjusted_guarded_routing,new_tier1_member_clean_sku_days,-0.17272307522053976,-0.17100545446552484,-74.4905961862703,-158.15274830862597
cutoff_20260621,demand_adjusted_blend_0.25_guarded_routing,all_holdout,-0.0003594566510931596,0.0003286476871703359,29.25935947675316,29.259359476760437
cutoff_20260621,demand_adjusted_blend_0.25_guarded_routing,clean_bakery_days,0.00026156266689203456,0.00011227414036385497,1.1915926220226538,1.1915926220217443
cutoff_20260621,demand_adjusted_blend_0.25_guarded_routing,clean_sku_days,-0.0009585542199053165,-0.00018057323034204043,39.310152194499096,-70.43756842461153
cutoff_20260621,demand_adjusted_blend_0.25_guarded_routing,adjusted_pairs_clean_sku_days,0.0036985920719458942,0.004684292219888864,-78.19762124399494,280.33419911663987
cutoff_20260621,demand_adjusted_blend_0.25_guarded_routing,stable_routing_clean_sku_days,-0.0009633096458101509,-0.00017699211744659493,39.65937766326533,-70.15452462880057
cutoff_20260621,demand_adjusted_blend_0.25_guarded_routing,new_exact_routing_clean_sku_days,0.008739659648657083,0.008739659648657083,0.3360898664091252,0.4022715393480141
cutoff_20260621,demand_adjusted_blend_0.25_guarded_routing,stable_tier1_membership_clean_sku_days,0.00042512836063424153,0.0005336268305244918,57.197184996861324,34.064037892043416
cutoff_20260621,demand_adjusted_blend_0.25_guarded_routing,new_tier1_member_clean_sku_days,-0.17490054260335364,-0.17336225904693836,-74.61753581627875,-161.23210933057408
cutoff_20260621,demand_adjusted_blend_0.5_guarded_routing,all_holdout,-0.0003990759914724862,0.0002406809581489977,21.427720165389474,21.42772016539675
cutoff_20260621,demand_adjusted_blend_0.5_guarded_routing,clean_bakery_days,0.0002715780817041935,3.473099267214952e-05,0.36860843013073463,0.36860843012982514
cutoff_20260621,demand_adjusted_blend_0.5_guarded_routing,clean_sku_days,-0.0009871435112647209,-0.0002548787020193455,31.67631531747611,-75.61259220037755
cutoff_20260621,demand_adjusted_blend_0.5_guarded_routing,adjusted_pairs_clean_sku_days,0.003665842943098685,0.004390799123534683,-85.10888107720712,274.5806448559724
cutoff_20260621,demand_adjusted_blend_0.5_guarded_routing,stable_routing_clean_sku_days,-0.0009920462628969506,-0.000251608269295045,32.01175228574721,-75.36301142988668
cutoff_20260621,demand_adjusted_blend_0.5_guarded_routing,new_exact_routing_clean_sku_days,0.009011526391203839,0.009011526391203839,0.33773679893801045,0.4235929966964562
cutoff_20260621,demand_adjusted_blend_0.5_guarded_routing,stable_tier1_membership_clean_sku_days,0.00039051446589510874,0.0004521465004572178,49.49443964246893,27.831961873191176
cutoff_20260621,demand_adjusted_blend_0.5_guarded_routing,new_tier1_member_clean_sku_days,-0.17417178226423746,-0.17257349367014108,-74.5750721370083,-160.20150188557307
cutoff_20260621,demand_adjusted_blend_0.75_guarded_routing,all_holdout,-0.0004356393710425177,0.00015487555575788292,13.78850281619816,13.788502816190885
cutoff_20260621,demand_adjusted_blend_0.75_guarded_routing,clean_bakery_days,0.00028617979461409426,-2.9206239848922344e-05,-0.30997289142669615,-0.30997289142578666
cutoff_20260621,demand_adjusted_blend_0.75_guarded_routing,clean_sku_days,-0.0010125879819993244,-0.0003269487365741286,24.23492802317196,-80.59471839728212
cutoff_20260621,demand_adjusted_blend_0.75_guarded_routing,adjusted_pairs_clean_sku_days,0.0036413853942238728,0.0041024721672862086,-91.84619302818464,268.87607199092054
cutoff_20260621,demand_adjusted_blend_0.75_guarded_routing,stable_routing_clean_sku_days,-0.0010176367794438868,-0.0003239883997253612,24.556551740424766,-80.37866408808623
cutoff_20260621,demand_adjusted_blend_0.75_guarded_routing,new_exact_routing_clean_sku_days,0.009283927697891325,0.009283927697891325,0.33938696978530913,0.4449563778433614
cutoff_20260621,demand_adjusted_blend_0.75_guarded_routing,stable_tier1_membership_clean_sku_days,0.00035909383378962545,0.0003735049064349516,42.032205218230956,21.844857490083086
cutoff_20260621,demand_adjusted_blend_0.75_guarded_routing,new_tier1_member_clean_sku_days,-0.17344596672316515,-0.1717878994891613,-74.53275922016587,-159.1750579124664
